timestamp,station_id,station_name,area,available_bikes,empty_slots,total_docks,lat,lng,is_active,is_empty,is_full,bike_ratio,hour,minute,day_of_week,is_weekend
2026-03-22 02:39:03,500101100,YouBike2.0_捷運麟光站(2號出口),大安區,0,0,1,,,1,1,1,0.0,2,39,6,1
2026-03-22 02:39:03,500101101,YouBike2.0_捷運六張犁站,大安區,0,0,1,,,1,1,1,0.0,2,39,6,1
2026-03-22 02:39:03,500101102,YouBike2.0_喬治工商,大安區,0,0,1,,,1,1,1,0.0,2,39,6,1
2026-03-22 02:39:03,500101103,YouBike2.0_法治公園,大安區,0,0,1,,,1,1,1,0.0,2,39,6,1
2026-03-22 02:39:03,500101104,YouBike2.0_捷運臺電大樓站(2號出口),大安區,0,0,1,,,1,1,1,0.0,2,39,6,1
2026-03-22 02:39:03,500101105,YouBike2.0_和平金山路口,大安區,0,0,1,,,1,1,1,0.0,2,39,6,1
2026-03-22 02:39:03,500101107,YouBike2.0_和平龍泉街口,大安區,0,0,1,,,1,1,1,0.0,2,39,6,1
2026-03-22 02:39:03,500101108,YouBike2.0_和平泰順街口,大安區,0,0,1,,,1,1,1,0.0,2,39,6,1
2026-03-22 02:39:03,500101109,YouBike2.0_臺灣師範大學(圖書館),大安區,0,0,1,,,1,1,1,0.0,2,39,6,1
2026-03-22 02:39:03,500101110,YouBike2.0_捷運古亭站(6號出口),大安區,0,0,1,,,1,1,1,0.0,2,39,6,1
2026-03-22 02:39:03,500101113,YouBike2.0_臺北市立圖書館(總館),大安區,0,0,1,,,1,1,1,0.0,2,39,6,1
2026-03-22 02:39:03,500101114,YouBike2.0_新生和平路口東北側,大安區,0,0,1,,,1,1,1,0.0,2,39,6,1
2026-03-22 02:39:03,500101115,YouBike2.0_建國和平路口西北側,大安區,0,0,1,,,1,1,1,0.0,2,39,6,1
2026-03-22 02:39:03,500101116,YouBike2.0_金華公園,大安區,0,0,1,,,1,1,1,0.0,2,39,6,1
2026-03-22 02:39:03,500101118,YouBike2.0_金甌女中,大安區,0,0,1,,,1,1,1,0.0,2,39,6,1
2026-03-22 02:39:03,500101119,YouBike2.0_金杭公園,大安區,0,0,1,,,1,1,1,0.0,2,39,6,1
2026-03-22 02:39:03,500101120,YouBike2.0_愛國金山路口,大安區,0,0,1,,,1,1,1,0.0,2,39,6,1
2026-03-22 02:39:03,500101122,YouBike2.0_敦化南路二段293巷口南側,大安區,0,0,1,,,1,1,1,0.0,2,39,6,1
2026-03-22 02:39:03,500101123,YouBike2.0_敦化基隆路口,大安區,0,0,1,,,1,1,1,0.0,2,39,6,1
2026-03-22 02:39:03,500101124,YouBike2.0_安和路二段181巷口,大安區,0,0,1,,,1,1,1,0.0,2,39,6,1
2026-03-22 02:39:03,500101125,YouBike2.0_臨江街夜市(通化街101巷口),大安區,0,0,1,,,1,1,1,0.0,2,39,6,1
2026-03-22 02:39:03,500101126,YouBike2.0_臨江街夜市(基隆路),大安區,0,0,1,,,1,1,1,0.0,2,39,6,1
2026-03-22 02:39:03,500101127,YouBike2.0_台北科技大學億光大樓,大安區,0,0,1,,,1,1,1,0.0,2,39,6,1
2026-03-22 02:39:03,500101128,YouBike2.0_新生南路一段119巷口,大安區,0,0,1,,,1,1,1,0.0,2,39,6,1
2026-03-22 02:39:03,500101129,YouBike2.0_幸安國小(仁愛路),大安區,0,0,1,,,1,1,1,0.0,2,39,6,1
2026-03-22 02:39:03,500101130,YouBike2.0_民榮公園,大安區,0,0,1,,,1,1,1,0.0,2,39,6,1
2026-03-22 02:39:03,500101131,YouBike2.0_復興南路1段340巷口,大安區,0,0,1,,,1,1,1,0.0,2,39,6,1
2026-03-22 02:39:03,500101132,YouBike2.0_建國濟南路口,大安區,0,0,1,,,1,1,1,0.0,2,39,6,1
2026-03-22 02:39:03,500101133,YouBike2.0_捷運忠孝復興站(2號出口),大安區,0,0,1,,,1,1,1,0.0,2,39,6,1
2026-03-22 02:39:03,500101134,YouBike2.0_捷運大安站(4號出口),大安區,0,0,1,,,1,1,1,0.0,2,39,6,1
2026-03-22 02:39:03,500101135,YouBike2.0_捷運大安站(2號出口),大安區,0,0,1,,,1,1,1,0.0,2,39,6,1
2026-03-22 02:39:03,500101136,YouBike2.0_信義大安路口(信維大樓),大安區,0,0,1,,,1,1,1,0.0,2,39,6,1
2026-03-22 02:39:03,500101137,YouBike2.0_龍門廣場,大安區,0,0,1,,,1,1,1,0.0,2,39,6,1
2026-03-22 02:39:03,500101138,YouBike2.0_仁愛安和路口,大安區,0,0,1,,,1,1,1,0.0,2,39,6,1
